variable_name,description,data_type,enumerations,min,max,Comment
subject,The Subject(s) which this file describes,String,,,,,
sample,The Samples(s) used to generate data in this file,String,,,,,
filename,The name of the file,String,,,,,
format,The format of the file,String,,,,,
data_type,The type of data within this file,String,,,,,
size,Size of the file,Integer,,,,,
drs_uri,DRS location to access the data,String,,,,,
file_metadata,Additional metadata about the contents of the file,String,,,,,
has_access_policy,Which access policy applies to this element?,String,,,,,
id,ID associated with a class,String,,,,,
external_id,Other identifiers for this entity,String,,,,,
