local code,text,table_name,parent_varname,local code system,code,display,code system,comment
open,Open Access,,,access_type,open,Open Access,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-type,,
registered,Registered Access,,,access_type,registered,Registered Access,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-type,,
controlled,Controlled,,,access_type,controlled,Controlled,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-type,,
gsr_restricted,GSR Restricted,,,access_type,gsr_restricted,GSR Restricted,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-type,,
gsr_allowed,GSR Allowed,,,access_type,gsr_allowed,GSR Allowed,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-type,,
gru,General Research Use,,,policy_code,gru,General Research Use,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
hmb,Health/Medical/Biomedical,,,policy_code,hmb,Health/Medical/Biomedical,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
ds,Health/Medical/Biomedical,,,policy_code,ds,Disease-Specific (Disease/Trait/Exposure),https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
irb,IRB approval required,,,policy_code,irb,IRB approval required,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
pub,Publication required,,,policy_code,pub,Publication required,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
col,Collaboration Required,,,policy_code,col,Collaboration Required,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
npu,Not-for-profit use only,,,policy_code,npu,Not-for-profit use only,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
mds,Methods,,,policy_code,mds,Methods,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
gso,Genetic studies only,,,policy_code,gso,Genetic studies only,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
gsr,Genomic Summary Results,,,policy_code,gso,Genomic Summary Results,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,,
cric,Common Rule Informed Consent,,,consent_code,cric,Common Rule Informed Consent,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
illinois-minor-procedure,Illinois Consent by Minors to Medical Procedures,,,consent_code,illinois-minor-procedure,Illinois Consent by Minors to Medical Procedures,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
hipaa-auth,HIPAA Authorization,,,consent_code,hipaa-auth,HIPAA Authorization,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
hipaa-npp,HIPAA Notice of Privacy Practices,,,consent_code,hipaa-npp,HIPAA Notice of Privacy Practices,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
hipaa-restrictions,HIPAA Restrictions,,,consent_code,hipaa-restrictions,HIPAA Restrictions,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
hipaa-research,HIPAA Research Authorization,,,consent_code,hipaa-research,HIPAA Research Authorization,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
hipaa-self-pay,HIPAA Self-Pay Restriction,,,consent_code,hipaa-self-pay,HIPAA Self-Pay Restriction,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
mdhhs-5515,Michigan MDHHS-5515 Consent to Share Behavioral Health Information for Care Coordination Purposes,,,consent_code,mdhhs-5515,Michigan MDHHS-5515 Consent to Share Behavioral Health Information for Care Coordination Purposes,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
nyssipp,New York State Surgical and Invasive Procedure Protocol,,,consent_code,nyssipp,New York State Surgical and Invasive Procedure Protocol,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
va-10-0484,VA Form 10-0484,,,consent_code,va-10-0484,VA Form 10-0484,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
va-10-0485,VA Form 10-0485,,,consent_code,va-10-0485,VA Form 10-0485,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
va-10-5345,VA Form 10-5345,,,consent_code,va-10-5345,VA Form 10-5345,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
va-10-5345a,VA Form 10-5345a,,,consent_code,va-10-5345a,VA Form 10-5345a,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
va-10-5345a-mhv,VA Form 10-5345a-MHV,,,consent_code,va-10-5345a-mhv,VA Form 10-5345a-MHV,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
va-10-10116,VA Form 10-10-10116,,,consent_code,va-10-10116,VA Form 10-10-10116,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
va-21-4142,VA Form 21-4142,,,consent_code,va-21-4142,VA Form 21-4142,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
ssa-827,SSA Authorization to Disclose,,,consent_code,ssa-827,SSA Authorization to Disclose,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
dch-3927,Michigan behavior and mental health consent,,,consent_code,dch-3927,Michigan behavior and mental health consent,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
squaxin,Squaxin Indian behavioral health and HIPAA consent,,,consent_code,squaxin,Squaxin Indian behavioral health and HIPAA consent,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
nl-lsp,NL LSP Permission,,,consent_code,nl-lsp,NL LSP Permission,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
at-elga,AT ELGA Opt-in Consent,,,consent_code,at-elga,AT ELGA Opt-in Consent,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
nih-hipaa,HHS NIH HIPAA Research Authorization,,,consent_code,nih-hipaa,HHS NIH HIPAA Research Authorization,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
nci,NCI Cancer Clinical Trial consent,,,consent_code,nci,NCI Cancer Clinical Trial consent,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
nih-grdr,NIH Global Rare Disease Patient Registry and Data Repository consent,,,consent_code,nih-grdr,NIH Global Rare Disease Patient Registry and Data Repository consent,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
ga4gh,Population origins and ancestry research consent,,,consent_code,ga4gh,Population origins and ancestry research consent,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
ch-epr,CH EPR Consent,,,consent_code,ch-epr,CH EPR Consent,http://terminology.hl7.org/CodeSystem/consentpolicycodes,,
