local code,text,table_name,parent_varname,local code system,code,display,code system,comment
HP,The Human Phenotype Ontology,,,curie_system,hpo,HPO,http://purl.obolibrary.org/obo/hp.owl,,
MONDO,The Mondo Disease Ontology,,,curie_system,mondo,MONDO,http://purl.obolibrary.org/obo/mondo.owl,,
MAXO,The Medical Action Ontology,,,curie_system,maxo,MAXO,http://purl.obolibrary.org/obo/maxo.owl,,
NCIT,The National Cancer Institute Thesaurus,,,curie_system,ncit,NCIT,http://purl.obolibrary.org/obo/ncit.owl,,
SNOMED,Systematized Nomenclature of Medicine Clinical Terminology,,,curie_system,snomed,SNOMED,http://snomed.info/sct,,
SYMP,The Symptom Ontology,,,curie_system,symp,SYMP,https://purl.obolibrary.org/obo/symp.owl,,
LOINC,Logical Observation Identifiers Names and Codes,,,curie_system,loinc,LOINC,https://loinc.org/,,
MEDDRA, The Medical Dictionary of Regulatory Activities,,,curie_system,meddra,MEDDRA,https://www.meddra.org/,,
MESH,The Medical Subject Headings Thesaurus,,,curie_system,mesh,MESH,urn:oid:2.16.840.1.113883.6.177,,
UCUM,Units of Measure,,,curie_system,ucum,UCUM,http://unitsofmeasure.org,,
OMIT,Ontology for MIRNA Target,,,curie_system,omit,OMIT,http://purl.obolibrary.org/obo/omit.owl,,
OMIM,Online Mendelian Inheritance in Man,,,curie_system,omim,OMIM,https://omim.org/MIM:603903,,
MIM,Online Mendelian Inheritance in Man,,,curie_system,mim,MIM,https://omim.org/MIM:603903,,
CDCREC,The Centers for Disease Control and Prevention Race and Ethnicity Code System,,,curie_system,cdcrec,CDCREC,http://terminology.hl7.org/NamingSystem/CDCREC,,
EDAM,Ontology of bioscientific data analysis and data management,,,curie_system,edam,EDAM,http://edamontology.org,,
