local code,text,table_name,parent_varname,local code system,code,display,code system,comment
FAMMEMB,family member,,,family_member,FAMMEMB,family member,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
CHILD,child,,,family_member,CHILD,child,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
CHILDADOPT,adopted child,,,family_member,CHILDADOPT,adopted child,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
DAUADOPT,adopted dauther,,,family_member,DAUADOPT,adopted daughter,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
SONADOPT,adopated son,,,family_member,SONADOPT,adopted son,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
CHLDFOST,foster child,,,family_member,CHLDFOST,foster child,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
DAUFOST,foster daughter,,,family_member,DAUFOST,foster daughter,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
SONFOST,foster son,,,family_member,SONFOST,foster son,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
DAUC,daughter,,,family_member,DAUC,daughter,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
DAU,natural daughter,,,family_member,DAU,natural daughter,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
STPDAU,stepdaughter,,,family_member,STPDAU,stepdaughter,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NCHILD,natural child,,,family_member,NCHILD,natural child,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,,
SON,natural son,,,family_member,SON,natural son,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
SONC,son,,,family_member,SONC,son,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
STPSON,stepson,,,family_member,STPSON,stepson,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
STPCHLD,step child,,,family_member,STPCHLD,step child,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
EXT,extended family member,,,family_member,EXT,extended family member,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
AUNT,aunt,,,family_member,AUNT,aunt,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
MAUNT,maternal aunt,,,family_member,MAUNT,maternal aunt,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
PAUNT,paternal aunt,,,family_member,PAUNT,paternal aunt,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
COUSN,cousin,,,family_member,COUSN,cousin,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
MCOUSN,maternal cousin,,,family_member,MCOUSN,maternal cousin,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
PCOUSN,paternal cousin,,,family_member,PCOUSN,paternal cousin,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
GGRPRN,great-grandparent,,,family_member,GGRPRN,great-grandparent,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
GGRFTH,great-grandfather,,,family_member,GGRFTH,great-grandfather,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
MGGRFTH,maternal great-grandfather,,,family_member,MGGRFTH,maternal great-grandfather,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
PGGRFTH,paternal great-grandfather,,,family_member,PGGRFTH,paternal great-grandfather,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
GGRMTH,great-grandmother,,,family_member,GGRMTH,great-grandmother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
MGGRMTH,maternal great-grandmother,,,family_member,MGGRMTH,maternal great-grandmother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
PGGRMTH,paternal great-grandmother,,,family_member,PGGRMTH,paternal great-grandmother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
MGGRPRN,maternal great-grandparent,,,family_member,MGGRPRN,maternal great-grandparent,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
PGGRPRN,paternal great-grandparent,,,family_member,PGGRPRN,paternal great-grandparent,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
GRNDCHILD,grandchild,,,family_member,GRNDCHILD,grandchild,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
GRNDDAU,granddaughter,,,family_member,GRNDDAU,granddaughter,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
GRNDSON,grandson,,,family_member,GRNDSON,grandson,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
GRPRN,grandparent,,,family_member,GRPRN,grandparent,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
GRFTH,grandfather,,,family_member,GRFTH,grandfather,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
MGRFTH,maternal grandfather,,,family_member,MGRFTH,maternal grandfather,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
